,logM,z,gmag,rmag,gMag,rMag,n,e,B_T_r,g-r
310,11.16,0.08938,16.83,15.87,-21.6,-22.36,6.08,0.08,0.84,0.76
311,10.962,0.07056,16.37,15.55,-21.43,-22.12,5.22,0.0,0.84,0.69
312,10.045,0.08879,17.01,16.74,-21.2,-21.42,2.81,0.27,0.29,0.22
313,11.114,0.11366,17.69,16.71,-21.36,-22.1,5.56,0.16,0.68,0.74
314,10.732,0.08855,17.58,16.73,-20.77,-21.47,2.07,0.3,0.32,0.7
315,10.28,0.08817,17.02,16.59,-21.2,-21.57,0.93,0.42,0.16,0.37
316,11.659,0.14878,17.41,16.25,-22.47,-23.26,5.01,0.04,0.64,0.79
317,11.842,0.21557,18.22,16.92,-22.86,-23.57,7.11,0.3,0.51,0.71
318,10.372,0.04751,16.71,15.99,-20.1,-20.74,0.64,0.76,0.0,0.64
319,9.997,0.02611,16.13,15.56,-19.29,-19.82,1.68,0.42,0.62,0.53
320,10.783,0.07854,17.69,16.77,-20.4,-21.17,3.44,0.62,0.36,0.77
321,11.101,0.09101,17.19,16.2,-21.31,-22.11,5.33,0.4,0.93,0.8
322,11.451,0.14966,17.72,16.81,-22.1,-22.71,6.92,0.49,0.47,0.61
323,10.192,0.03766,16.98,16.3,-19.33,-19.93,6.33,0.1,0.46,0.6
324,10.832,0.0892,17.5,16.65,-20.94,-21.62,2.03,0.0,0.31,0.68
325,11.024,0.06964,16.11,15.33,-21.68,-22.34,2.85,0.45,0.61,0.66
326,11.716,0.13159,16.64,15.52,-22.91,-23.7,5.36,0.06,0.88,0.79
327,10.892,0.10638,17.28,16.47,-21.61,-22.2,4.29,0.3,0.58,0.59
328,11.004,0.10616,17.8,16.8,-21.16,-21.91,5.31,0.15,0.92,0.75
329,11.447,0.1604,18.12,16.97,-22.04,-22.77,3.63,0.35,0.42,0.73
330,11.035,0.10638,17.81,16.83,-21.16,-21.88,6.55,0.24,0.84,0.72
331,10.3,0.05418,17.3,16.5,-19.93,-20.61,3.4,0.33,0.83,0.68
332,11.358,0.08379,16.21,15.25,-22.13,-22.88,5.19,0.29,0.82,0.75
333,11.175,0.10485,17.42,16.43,-21.51,-22.25,6.58,0.06,0.82,0.74
334,10.195,0.04923,17.67,16.82,-19.35,-20.07,2.98,0.59,0.98,0.72
335,11.057,0.04927,15.38,14.64,-21.63,-22.26,1.78,0.39,0.29,0.63
336,11.145,0.0826,16.82,15.88,-21.46,-22.2,5.34,0.2,0.71,0.74
337,10.881,0.0593,16.36,15.49,-21.1,-21.83,4.8,0.3,0.78,0.73
338,11.192,0.10978,17.57,16.59,-21.46,-22.19,7.95,0.06,0.57,0.73
339,11.18,0.10977,17.09,16.29,-21.84,-22.48,7.39,0.28,0.49,0.64
340,11.05,0.05473,15.94,15.03,-21.33,-22.1,3.07,0.08,0.68,0.77
341,10.358,0.05199,17.55,16.63,-19.57,-20.37,1.08,0.64,0.26,0.8
342,10.297,0.05257,17.6,16.76,-19.53,-20.25,3.43,0.42,0.27,0.72
343,10.854,0.02553,14.61,13.89,-20.85,-21.5,4.64,0.49,0.88,0.65
344,10.664,0.10715,17.06,16.46,-21.74,-22.21,0.84,0.47,0.28,0.47
345,10.713,0.09777,17.21,16.57,-21.42,-21.92,1.2,0.67,0.12,0.5
346,10.976,0.11648,17.87,16.86,-21.35,-22.08,4.65,0.71,1.0,0.73
347,10.386,0.02565,15.31,14.54,-20.16,-20.86,1.15,0.74,0.11,0.7
348,9.308,0.02602,16.3,15.79,-19.2,-19.64,2.1,0.35,0.41,0.44
349,9.279,0.02609,16.5,16.06,-19.0,-19.37,0.69,0.48,0.0,0.37
350,11.717,0.18656,17.96,16.69,-22.69,-23.5,7.99,0.26,0.79,0.81
351,10.108,0.07017,17.06,16.63,-20.7,-21.06,1.8,0.35,0.77,0.36
352,10.995,0.12067,17.84,16.93,-21.42,-22.07,1.91,0.17,0.28,0.65
353,11.176,0.11821,17.96,16.85,-21.32,-22.15,4.03,0.33,0.99,0.83
354,11.619,0.11962,16.93,15.86,-22.38,-23.16,2.77,0.46,0.28,0.78
355,11.352,0.11822,17.3,16.22,-21.96,-22.75,4.7,0.02,0.95,0.79
356,10.705,0.11879,17.55,16.92,-21.52,-21.98,1.14,0.2,0.07,0.46
357,11.031,0.0385,14.93,14.05,-21.48,-22.26,3.66,0.48,0.9,0.78
358,10.216,0.03811,16.27,15.67,-20.09,-20.62,2.18,0.1,0.17,0.53
359,11.248,0.12558,17.3,16.35,-22.07,-22.77,2.98,0.0,0.48,0.7
360,11.425,0.14843,17.9,16.74,-22.03,-22.81,6.09,0.34,0.79,0.78
361,10.919,0.04888,15.36,14.72,-21.61,-22.16,2.56,0.34,0.19,0.55
362,11.189,0.12745,17.85,16.81,-21.6,-22.35,2.9,0.4,0.56,0.75
363,11.189,0.09545,16.76,16.02,-21.82,-22.42,1.33,0.36,0.22,0.6
364,9.591,0.05031,17.39,16.98,-19.6,-19.96,0.6,0.25,0.95,0.36
365,11.515,0.1505,17.2,16.18,-22.7,-23.37,4.03,0.52,0.58,0.67
366,10.905,0.08335,16.47,15.8,-21.77,-22.32,1.03,0.26,0.12,0.55
367,10.528,0.10203,17.45,16.88,-21.2,-21.64,1.26,0.07,0.18,0.44
368,11.101,0.12652,17.96,17.02,-21.45,-22.15,2.35,0.62,0.35,0.7
369,10.95,0.12735,17.16,16.43,-22.16,-22.68,2.12,0.06,0.36,0.52
370,10.489,0.08448,17.3,16.64,-20.94,-21.48,1.73,0.35,0.22,0.54
371,10.871,0.05496,16.06,15.15,-21.23,-21.99,3.35,0.13,0.8,0.76
372,10.182,0.05066,17.64,16.76,-19.43,-20.22,1.09,0.74,0.29,0.79
373,10.683,0.05494,16.55,15.75,-20.71,-21.39,2.7,0.33,0.38,0.68
374,10.492,0.05514,17.06,16.18,-20.24,-20.97,2.3,0.5,0.51,0.73
375,10.863,0.05257,16.25,15.47,-20.89,-21.57,2.85,0.78,0.38,0.68
376,11.167,0.13687,17.79,16.84,-21.81,-22.5,3.13,0.18,0.69,0.69
377,10.936,0.05056,15.62,14.86,-21.43,-22.08,1.51,0.63,0.19,0.65
378,10.884,0.10302,17.67,16.84,-21.15,-21.79,3.49,0.34,0.63,0.64
379,11.074,0.13663,17.95,16.96,-21.67,-22.36,4.28,0.28,0.69,0.69
380,11.156,0.10362,17.68,16.59,-21.23,-22.09,1.73,0.66,0.52,0.86
381,11.006,0.10332,17.25,16.33,-21.6,-22.29,4.92,0.19,0.99,0.69
382,10.285,0.07288,17.66,17.01,-20.23,-20.77,2.99,0.08,0.69,0.54
383,10.21,0.07311,17.5,16.92,-20.37,-20.85,1.2,0.33,0.2,0.48
384,11.23,0.1336,17.82,16.79,-21.77,-22.49,2.66,0.59,0.8,0.72
385,10.96,0.05517,16.46,15.48,-20.82,-21.69,1.81,0.8,0.37,0.87
386,11.164,0.07263,16.55,15.62,-21.39,-22.18,2.45,0.65,0.49,0.79
387,10.778,0.07303,17.41,16.55,-20.53,-21.25,2.53,0.67,0.42,0.72
388,11.127,0.07956,16.51,15.59,-21.64,-22.4,5.3,0.1,0.87,0.76
389,11.092,0.08281,16.86,15.91,-21.43,-22.18,3.68,0.28,0.68,0.75
390,11.273,0.13137,17.53,16.47,-22.0,-22.76,5.88,0.15,0.98,0.76
391,9.796,0.03509,17.17,16.54,-18.99,-19.55,7.99,0.16,0.67,0.56
392,10.992,0.13193,17.7,16.76,-21.81,-22.45,1.32,0.39,0.33,0.64
393,11.217,0.08893,16.67,15.68,-21.81,-22.59,5.6,0.44,0.97,0.78
394,10.28,0.0557,17.35,16.66,-19.91,-20.49,1.19,0.2,0.14,0.58
395,10.714,0.05593,16.92,15.99,-20.39,-21.18,2.82,0.74,0.49,0.79
396,11.204,0.10686,17.67,16.65,-21.25,-22.07,3.14,0.52,0.21,0.82
397,10.784,0.08132,17.39,16.47,-20.83,-21.55,3.52,0.26,0.89,0.72
398,9.608,0.03775,17.09,16.64,-19.19,-19.59,1.56,0.36,0.15,0.4
399,11.813,0.21511,18.16,16.84,-22.93,-23.67,6.48,0.12,0.5,0.74
400,10.939,0.0813,17.36,16.4,-20.86,-21.63,4.12,0.38,0.61,0.77
401,11.044,0.13792,17.69,16.9,-21.78,-22.38,2.26,0.19,0.2,0.6
402,10.592,0.07992,16.56,16.0,-21.5,-21.99,1.0,0.34,0.09,0.49
403,11.395,0.14276,17.92,16.77,-21.87,-22.67,3.74,0.13,0.5,0.8
404,10.749,0.08003,17.09,16.4,-21.02,-21.59,1.92,0.3,0.27,0.57
405,11.622,0.14986,17.19,16.02,-22.74,-23.54,5.25,0.28,0.88,0.8
406,10.763,0.12368,17.43,16.77,-21.74,-22.22,0.81,0.28,0.92,0.48
407,10.802,0.05628,16.07,15.39,-21.2,-21.79,1.01,0.48,0.14,0.59
408,10.683,0.0424,16.28,15.39,-20.38,-21.15,4.54,0.42,0.71,0.77
409,9.358,0.04347,17.38,16.98,-19.26,-19.61,0.61,0.02,0.61,0.35
410,10.597,0.0431,16.59,15.78,-20.09,-20.79,2.63,0.66,0.58,0.7
411,10.294,0.04278,16.87,16.1,-19.79,-20.46,4.17,0.31,0.67,0.67
412,11.626,0.14621,17.2,16.09,-22.7,-23.45,8.0,0.22,1.0,0.75
413,10.888,0.07883,17.03,16.17,-21.11,-21.8,2.47,0.24,0.39,0.69
414,11.371,0.07732,16.07,15.11,-22.06,-22.84,5.37,0.08,0.79,0.78
415,10.767,0.07741,17.89,16.93,-20.25,-21.05,2.71,0.78,0.32,0.8
416,10.469,0.0838,17.58,16.86,-20.66,-21.26,1.17,0.47,0.22,0.6
417,11.113,0.08377,17.36,16.32,-21.0,-21.83,6.37,0.2,0.89,0.83
418,10.894,0.09943,16.74,16.16,-21.95,-22.37,0.91,0.14,0.03,0.42
419,10.487,0.0868,17.21,16.63,-21.09,-21.55,1.31,0.32,0.08,0.46
420,11.14,0.088,17.89,16.73,-20.62,-21.61,2.43,0.82,0.36,0.99
421,11.004,0.09311,17.43,16.52,-21.18,-21.89,3.87,0.45,0.48,0.71
422,9.119,0.03513,16.64,16.37,-19.54,-19.75,3.2,0.25,0.61,0.21
423,10.385,0.03554,15.62,15.01,-20.63,-21.15,0.97,0.57,0.05,0.52
424,11.457,0.15866,18.24,17.03,-21.95,-22.73,6.85,0.37,0.62,0.78
425,11.198,0.12195,16.86,16.05,-22.45,-23.02,2.79,0.38,0.25,0.57
426,10.241,0.07009,17.03,16.51,-20.8,-21.21,1.11,0.44,0.08,0.41
427,10.774,0.06962,17.12,16.32,-20.78,-21.43,2.98,0.29,0.3,0.65
428,11.203,0.09469,17.07,16.05,-21.67,-22.43,4.72,0.23,0.6,0.76
429,10.616,0.03783,15.55,14.9,-20.92,-21.46,2.26,0.52,0.27,0.54
430,10.907,0.05955,16.32,15.36,-21.22,-22.03,5.57,0.35,1.0,0.81
431,11.093,0.071,17.08,16.03,-20.91,-21.8,2.6,0.74,0.43,0.89
432,10.488,0.08123,17.31,16.72,-20.9,-21.36,1.93,0.47,0.34,0.46
433,11.278,0.14667,17.97,16.91,-21.98,-22.66,3.35,0.24,0.6,0.68
434,10.494,0.05444,17.08,16.32,-20.2,-20.82,2.1,0.18,0.27,0.62
435,9.825,0.04027,17.76,17.08,-18.82,-19.39,1.07,0.62,0.0,0.57
436,9.357,0.03729,17.23,16.72,-19.16,-19.59,0.7,0.85,0.08,0.43
437,11.131,0.12147,17.81,16.75,-21.6,-22.34,6.2,0.39,0.88,0.74
438,11.876,0.12058,16.21,15.1,-23.22,-24.0,3.56,0.27,0.54,0.78
439,11.128,0.11571,17.66,16.78,-21.53,-22.18,4.64,0.4,0.43,0.65
440,11.158,0.09231,17.35,16.41,-21.32,-22.01,6.93,0.5,0.49,0.69
441,11.039,0.11908,18.02,16.97,-21.29,-22.05,2.36,0.25,0.38,0.76
442,11.488,0.11816,17.3,16.25,-22.03,-22.79,3.77,0.14,0.49,0.76
443,11.668,0.11746,17.17,16.03,-22.16,-23.0,4.41,0.4,0.51,0.84
444,10.896,0.11764,17.84,17.05,-21.34,-21.93,1.04,0.31,0.04,0.59
445,11.104,0.11645,17.44,16.64,-21.7,-22.3,2.57,0.0,0.31,0.6
446,11.11,0.12145,18.01,16.99,-21.36,-22.08,5.72,0.18,0.6,0.72
447,11.1,0.1173,18.0,16.93,-21.31,-22.07,6.08,0.4,0.69,0.76
448,11.205,0.11825,18.06,16.93,-21.3,-22.11,5.03,0.63,0.6,0.81
449,11.151,0.1159,17.98,16.91,-21.29,-22.08,7.34,0.43,0.48,0.79
450,10.813,0.09197,17.89,16.99,-20.72,-21.41,4.65,0.38,0.58,0.69
451,11.358,0.11549,17.28,16.21,-22.01,-22.76,4.27,0.14,0.73,0.75
452,11.178,0.11856,17.82,16.71,-21.54,-22.32,4.44,0.01,0.81,0.78
453,11.216,0.11762,17.74,16.81,-21.52,-22.21,4.83,0.38,0.59,0.69
454,11.223,0.11984,18.09,16.98,-21.31,-22.09,3.8,0.54,0.63,0.78
455,11.253,0.11759,17.64,16.6,-21.66,-22.4,6.47,0.27,0.61,0.74
456,10.646,0.03721,15.83,15.07,-20.57,-21.22,4.51,0.09,0.62,0.65
457,11.159,0.11607,17.84,16.75,-21.45,-22.24,7.99,0.35,0.73,0.79
458,10.405,0.03697,15.96,15.36,-20.42,-20.91,0.74,0.28,0.78,0.49
459,10.208,0.06988,17.61,17.0,-20.21,-20.71,1.19,0.43,0.84,0.5
460,10.972,0.11136,16.92,16.24,-22.09,-22.58,0.97,0.18,0.08,0.49
461,10.324,0.06682,16.71,16.17,-21.07,-21.51,1.81,0.1,0.91,0.44
462,10.7,0.03747,16.02,15.21,-20.52,-21.19,4.27,0.15,1.0,0.67
463,11.369,0.13207,18.29,17.13,-21.59,-22.33,1.55,0.38,0.12,0.74
464,11.044,0.11432,17.91,16.99,-21.5,-22.13,1.62,0.21,0.06,0.63
465,10.492,0.05209,17.55,16.65,-19.99,-20.69,1.56,0.59,0.12,0.7
466,10.895,0.03809,16.18,15.29,-20.71,-21.38,4.35,0.27,0.34,0.67
467,11.408,0.12331,18.07,16.79,-21.84,-22.67,6.73,0.4,0.97,0.83
468,11.163,0.12238,18.44,17.21,-21.35,-22.15,4.41,0.02,0.97,0.8
469,11.22,0.12468,18.18,17.0,-21.54,-22.32,7.92,0.06,0.98,0.78
470,10.167,0.08236,16.92,16.54,-21.46,-21.72,2.07,0.23,0.37,0.26
471,11.175,0.08824,17.26,16.3,-21.44,-22.14,2.56,0.56,0.17,0.7
472,11.483,0.15363,17.98,17.04,-22.11,-22.76,6.85,0.58,0.37,0.65
473,10.944,0.08685,17.47,16.46,-21.19,-21.93,5.41,0.12,1.0,0.74
474,10.996,0.08252,17.19,16.2,-21.35,-22.07,4.17,0.23,0.94,0.72
475,10.648,0.07953,17.83,16.98,-20.58,-21.21,1.3,0.68,0.07,0.63
476,10.938,0.07469,17.37,16.47,-20.87,-21.55,5.43,0.64,0.33,0.68
477,10.692,0.07914,18.11,17.07,-20.32,-21.1,3.45,0.65,0.61,0.78
478,10.516,0.07629,18.03,17.13,-20.31,-20.96,1.56,0.53,0.34,0.65
479,11.688,0.07673,15.82,14.76,-22.57,-23.38,5.14,0.11,0.55,0.81
480,9.615,0.02853,17.58,16.9,-18.33,-18.88,4.66,0.47,0.88,0.55
481,11.04,0.06977,17.25,16.24,-20.94,-21.71,1.98,0.85,0.21,0.77
482,10.556,0.07666,18.12,17.23,-20.25,-20.9,1.77,0.61,0.28,0.65
483,11.54,0.15741,18.01,16.85,-22.3,-23.02,4.62,0.04,0.4,0.72
484,9.96,0.03728,17.35,16.7,-19.19,-19.71,1.56,0.47,0.86,0.52
485,10.495,0.08313,17.83,17.15,-20.67,-21.16,2.13,0.37,0.89,0.49
486,10.232,0.07747,17.4,16.79,-20.85,-21.28,0.83,0.24,0.13,0.43
487,10.556,0.03953,16.94,15.95,-19.83,-20.64,2.6,0.67,0.56,0.81
488,11.448,0.06628,16.06,15.03,-21.97,-22.75,5.37,0.09,0.51,0.78
489,10.618,0.05432,17.4,16.43,-20.04,-20.81,5.24,0.21,0.62,0.77
490,11.042,0.10011,17.55,16.8,-21.27,-21.81,2.69,0.64,0.72,0.54
491,9.589,0.04689,17.44,16.98,-19.27,-19.69,0.66,0.05,0.68,0.42
492,10.997,0.08073,16.88,15.94,-21.27,-22.02,6.63,0.24,0.69,0.75
493,10.026,0.04046,15.68,15.28,-20.71,-21.08,0.63,0.21,0.29,0.37
494,10.905,0.09377,15.68,15.08,-22.75,-23.23,7.34,0.29,0.8,0.48
495,8.847,0.0222,17.09,16.71,-17.94,-18.26,0.66,0.77,0.24,0.32
496,10.999,0.11701,17.8,16.91,-21.27,-21.94,3.73,0.46,0.31,0.67
497,9.594,0.03528,17.55,16.98,-18.54,-19.05,0.76,0.73,0.14,0.51
498,11.086,0.07411,16.33,15.57,-21.54,-22.2,2.4,0.65,0.35,0.66
499,11.286,0.1246,17.51,16.58,-21.78,-22.44,2.58,0.78,0.39,0.66
500,10.934,0.0821,17.09,16.18,-21.09,-21.82,4.66,0.17,0.9,0.73
501,11.476,0.157,17.35,16.53,-22.43,-23.02,4.37,0.12,0.41,0.59
502,10.608,0.07186,17.62,16.82,-20.2,-20.86,6.46,0.2,0.62,0.66
503,10.546,0.04035,15.99,15.24,-20.43,-21.11,2.11,0.32,0.31,0.68
504,11.318,0.07985,15.93,15.06,-22.17,-22.9,2.69,0.38,0.91,0.73
505,10.317,0.05059,16.88,16.15,-20.08,-20.73,2.1,0.12,0.47,0.65
506,9.294,0.03904,16.93,16.57,-19.37,-19.71,0.93,0.21,0.26,0.34
507,10.683,0.07838,17.54,16.64,-20.52,-21.26,5.47,0.12,0.92,0.74
508,11.522,0.1568,17.89,16.76,-22.13,-22.87,7.74,0.34,0.52,0.74
509,11.352,0.1484,17.74,16.76,-21.99,-22.75,1.64,0.51,0.11,0.76
510,11.502,0.14853,17.72,16.54,-22.14,-22.95,5.51,0.07,0.99,0.81
511,11.662,0.15882,17.54,16.38,-22.55,-23.31,7.26,0.15,0.74,0.76
512,11.562,0.15804,17.78,16.62,-22.27,-23.02,6.5,0.28,0.55,0.75
513,11.659,0.15827,17.61,16.43,-22.43,-23.21,6.45,0.0,0.63,0.78
514,11.657,0.15785,17.49,16.26,-22.55,-23.37,5.21,0.36,0.4,0.82
515,10.5,0.10282,17.61,17.05,-21.02,-21.46,0.95,0.23,0.64,0.44
516,11.431,0.1602,17.91,16.78,-22.17,-22.89,2.69,0.16,0.41,0.72
517,11.156,0.0795,16.61,15.77,-21.45,-22.18,2.05,0.72,0.34,0.73
518,11.352,0.11614,17.47,16.46,-21.63,-22.39,4.79,0.29,0.67,0.76
519,11.652,0.11545,16.25,15.21,-22.87,-23.67,3.34,0.22,0.94,0.8
520,11.754,0.15514,17.12,16.0,-22.86,-23.6,7.78,0.14,0.7,0.74
521,11.492,0.15409,17.69,16.69,-22.16,-22.85,5.68,0.27,0.46,0.69
522,11.495,0.15487,17.57,16.45,-22.4,-23.13,5.92,0.01,0.97,0.73
523,10.013,0.04376,16.27,15.8,-20.32,-20.75,2.2,0.27,0.42,0.43
524,10.641,0.07308,17.07,16.41,-20.75,-21.31,2.61,0.44,0.29,0.56
525,11.468,0.15325,17.64,16.48,-22.3,-23.09,5.98,0.28,0.93,0.79
526,10.22,0.07232,16.86,16.4,-20.87,-21.29,1.22,0.0,0.08,0.42
527,10.886,0.07247,16.89,15.96,-20.97,-21.74,5.18,0.27,1.0,0.77
528,9.416,0.02325,16.4,15.95,-18.75,-19.15,3.41,0.35,0.7,0.4
529,10.689,0.0638,16.73,16.08,-20.75,-21.32,1.62,0.39,0.35,0.57
530,11.124,0.10819,17.15,16.34,-21.68,-22.33,2.54,0.4,0.42,0.65
531,11.212,0.13769,17.61,16.58,-21.97,-22.7,6.55,0.15,0.99,0.73
532,11.325,0.14027,17.89,16.75,-21.79,-22.6,4.83,0.57,0.99,0.81
533,11.201,0.10883,17.32,16.3,-21.62,-22.39,7.92,0.07,1.0,0.77
534,11.648,0.13901,17.21,16.14,-22.34,-23.14,8.0,0.05,0.56,0.8
535,10.572,0.07648,17.59,16.76,-20.38,-21.08,6.82,0.1,0.94,0.7
536,10.932,0.07231,16.77,15.84,-21.09,-21.87,6.34,0.43,0.92,0.78
537,10.934,0.07215,16.9,15.99,-20.97,-21.72,5.85,0.27,0.71,0.75
538,11.012,0.08128,17.23,16.25,-20.94,-21.74,8.0,0.0,0.77,0.8
539,11.035,0.04796,15.35,14.49,-21.5,-22.26,5.35,0.11,0.61,0.76
540,10.978,0.10805,17.12,16.42,-21.65,-22.22,1.14,0.56,0.14,0.57
541,10.493,0.08925,17.61,17.01,-20.66,-21.15,0.88,0.16,0.82,0.49
542,11.032,0.11794,17.55,16.74,-21.47,-22.13,0.61,0.71,0.04,0.66
543,10.492,0.04844,16.84,15.99,-20.03,-20.78,2.88,0.52,0.46,0.75
544,10.67,0.11846,17.24,16.64,-21.73,-22.19,1.22,0.23,0.2,0.46
545,10.574,0.04821,16.71,15.83,-20.15,-20.93,3.46,0.66,0.93,0.78
546,11.327,0.14587,17.63,16.52,-22.18,-22.92,4.44,0.54,0.58,0.74
547,11.43,0.12688,17.26,16.16,-22.13,-22.93,6.04,0.32,0.92,0.8
548,10.739,0.08255,16.75,16.11,-21.34,-21.88,0.97,0.36,0.09,0.54
549,11.405,0.12592,17.25,16.2,-22.11,-22.86,5.67,0.23,0.84,0.75
550,11.195,0.08278,16.42,15.61,-21.77,-22.43,4.88,0.35,0.48,0.66
551,10.905,0.0903,17.44,16.51,-20.99,-21.73,2.29,0.75,0.41,0.74
552,11.027,0.0833,16.89,15.98,-21.34,-22.06,4.88,0.39,0.93,0.72
553,10.928,0.0886,17.72,16.75,-20.67,-21.45,7.99,0.14,0.49,0.78
554,10.856,0.08753,17.53,16.59,-20.83,-21.58,4.59,0.33,0.96,0.75
555,11.194,0.08298,16.77,15.84,-21.45,-22.21,6.76,0.52,0.71,0.76
556,11.452,0.089,16.11,15.15,-22.3,-23.06,4.5,0.38,0.65,0.76
557,10.882,0.08195,17.37,16.49,-20.81,-21.51,5.17,0.49,0.38,0.7
558,11.015,0.07143,16.89,15.95,-20.94,-21.73,4.45,0.42,0.61,0.79
559,10.908,0.08416,17.37,16.47,-20.87,-21.6,4.86,0.22,0.58,0.73
560,10.731,0.0839,17.63,16.72,-20.6,-21.34,3.86,0.09,0.74,0.74
561,10.731,0.08363,17.55,16.76,-20.63,-21.28,2.95,0.38,0.81,0.65
562,10.848,0.08207,17.14,16.36,-21.0,-21.64,3.3,0.26,0.55,0.64
563,10.794,0.08296,17.7,16.76,-20.52,-21.29,2.29,0.57,0.35,0.77
564,11.04,0.08914,16.45,15.77,-21.86,-22.42,1.08,0.39,0.11,0.56
565,9.783,0.0476,17.59,17.0,-19.22,-19.75,1.4,0.47,0.27,0.53
566,9.572,0.04846,17.03,16.65,-19.79,-20.12,1.13,0.44,0.55,0.33
567,10.696,0.09641,17.63,16.84,-20.88,-21.53,2.17,0.05,0.36,0.65
568,11.326,0.12653,17.49,16.41,-21.88,-22.67,7.28,0.12,1.0,0.79
569,11.05,0.13286,17.7,16.94,-21.69,-22.25,2.21,0.2,0.41,0.56
570,11.503,0.13349,17.25,16.14,-22.29,-23.08,6.05,0.21,0.93,0.79
571,11.101,0.13479,17.68,16.82,-21.77,-22.38,2.16,0.27,0.18,0.61
572,10.676,0.0468,16.16,15.32,-20.65,-21.38,6.46,0.36,0.54,0.73
573,11.615,0.17063,17.85,16.69,-22.4,-23.14,6.99,0.24,0.59,0.74
574,11.129,0.10775,17.36,16.36,-21.54,-22.3,4.76,0.16,0.99,0.76
575,9.827,0.03103,16.57,16.02,-19.23,-19.73,1.05,0.6,0.03,0.5
576,10.796,0.08483,17.31,16.42,-20.94,-21.67,2.36,0.46,0.59,0.73
577,8.599,0.01755,17.41,16.95,-17.09,-17.5,2.31,0.25,0.31,0.41
578,11.42,0.08285,16.47,15.44,-21.76,-22.63,3.39,0.35,0.57,0.87
579,11.13,0.08334,16.82,15.89,-21.39,-22.16,3.51,0.73,0.42,0.77
580,10.725,0.09478,17.63,16.91,-20.83,-21.42,3.22,0.26,0.36,0.59
581,11.469,0.09543,16.14,15.22,-22.45,-23.15,5.15,0.22,0.54,0.7
582,10.8,0.0912,17.79,16.83,-20.67,-21.44,7.93,0.1,0.7,0.77
583,10.977,0.09079,17.2,16.32,-21.24,-21.94,2.15,0.61,0.22,0.7
584,10.681,0.08116,17.98,17.06,-20.2,-20.95,1.4,0.59,0.24,0.75
585,9.93,0.04057,16.14,15.72,-20.29,-20.68,1.52,0.3,0.15,0.39
586,10.451,0.09448,17.18,16.64,-21.24,-21.67,0.69,0.49,0.4,0.43
587,11.121,0.12097,17.58,16.73,-21.59,-22.21,7.99,0.01,0.48,0.62
588,11.305,0.13876,17.25,16.29,-22.33,-23.0,3.7,0.32,0.95,0.67
589,11.162,0.12095,17.76,16.74,-21.51,-22.24,5.6,0.18,0.78,0.73
590,11.227,0.13959,17.97,16.93,-21.69,-22.4,4.3,0.17,0.58,0.71
591,11.3,0.08191,16.43,15.41,-21.8,-22.64,3.63,0.23,0.52,0.84
592,10.62,0.08283,17.34,16.57,-20.82,-21.48,0.73,0.82,0.06,0.66
593,10.507,0.08218,16.47,15.94,-21.61,-22.06,8.0,0.1,0.64,0.45
594,11.331,0.07401,15.88,14.94,-22.05,-22.82,5.95,0.09,0.91,0.77
595,10.618,0.07449,17.15,16.47,-20.7,-21.29,1.42,0.12,0.28,0.59
596,10.873,0.07442,17.34,16.47,-20.57,-21.3,5.3,0.55,0.53,0.73
597,10.637,0.0756,17.59,16.71,-20.36,-21.09,6.27,0.24,0.93,0.73
598,9.143,0.01422,16.03,15.56,-18.02,-18.42,1.23,0.51,0.27,0.4
599,11.088,0.08232,16.93,16.02,-21.27,-22.0,5.98,0.47,0.6,0.73
600,10.682,0.08181,17.15,16.52,-20.95,-21.48,1.45,0.28,0.19,0.53
601,10.529,0.07555,17.69,16.94,-20.25,-20.89,1.58,0.63,0.23,0.64
602,10.566,0.08203,17.67,16.94,-20.47,-21.07,1.94,0.38,0.18,0.6
603,10.82,0.08154,16.62,15.95,-21.47,-22.03,1.19,0.0,0.05,0.56
604,9.788,0.05493,17.13,16.67,-19.99,-20.39,0.77,0.32,0.04,0.4
605,11.458,0.07551,15.78,14.87,-22.21,-22.95,4.48,0.27,0.69,0.74
606,10.968,0.07553,16.55,15.66,-21.43,-22.16,5.5,0.16,0.83,0.73
607,10.956,0.07503,16.59,15.79,-21.36,-22.02,1.16,0.5,0.06,0.66
608,11.163,0.08343,16.83,15.88,-21.41,-22.17,6.21,0.16,0.83,0.76
609,11.077,0.07505,16.67,15.78,-21.3,-22.03,4.04,0.04,0.65,0.73
610,11.628,0.18887,17.97,16.69,-22.65,-23.42,6.76,0.26,0.9,0.77
611,11.009,0.08015,17.17,16.28,-20.95,-21.67,5.99,0.03,0.59,0.72
612,11.127,0.14241,17.54,16.78,-21.99,-22.55,1.16,0.19,0.55,0.56
613,9.748,0.05544,16.78,16.48,-20.31,-20.56,1.1,0.25,0.15,0.25
614,10.449,0.05546,17.6,16.79,-19.58,-20.32,2.69,0.84,0.38,0.74
615,9.963,0.02138,15.4,14.94,-19.57,-19.93,0.91,0.64,0.19,0.36
616,11.209,0.11089,17.61,16.61,-21.39,-22.16,4.91,0.29,0.7,0.77
617,10.313,0.05623,17.21,16.6,-19.98,-20.51,0.68,0.25,0.82,0.53
618,10.656,0.08653,16.42,15.85,-21.78,-22.28,1.1,0.4,0.29,0.5
619,11.444,0.08619,15.7,14.91,-22.56,-23.23,2.53,0.11,0.37,0.67
