,logM,z,gmag,rmag,gMag,rMag,n,e,B_T_r,g-r
186438,10.977,0.10047,17.14,16.32,-21.45,-22.12,2.37,0.17,0.36,0.67
186439,10.886,0.08957,17.56,16.61,-20.81,-21.58,4.09,0.68,0.57,0.77
186440,9.229,0.03439,16.79,16.47,-19.18,-19.48,0.67,0.4,0.6,0.3
186441,11.017,0.07682,16.73,15.88,-21.22,-21.93,1.92,0.66,0.34,0.71
186442,10.798,0.08892,17.13,16.44,-21.12,-21.7,2.52,0.2,0.3,0.58
186443,10.766,0.05348,16.69,15.88,-20.36,-21.09,2.06,0.57,0.54,0.73
186444,10.939,0.06,16.26,15.4,-21.09,-21.83,3.55,0.33,0.55,0.74
186445,11.256,0.1476,17.74,16.81,-21.94,-22.61,3.44,0.47,0.62,0.67
186446,10.484,0.05992,17.51,16.66,-19.83,-20.57,4.29,0.22,0.4,0.74
186447,10.649,0.0597,16.95,16.1,-20.37,-21.12,6.6,0.35,0.71,0.75
186448,11.195,0.14828,17.81,16.91,-21.86,-22.49,7.95,0.0,0.63,0.63
186449,10.619,0.05333,17.16,16.26,-19.9,-20.7,1.49,0.62,0.52,0.8
186450,11.346,0.12984,17.62,16.61,-21.75,-22.49,5.09,0.2,0.47,0.74
186451,11.228,0.11831,17.2,16.25,-21.88,-22.61,4.94,0.28,0.81,0.73
186452,10.35,0.07362,17.46,16.78,-20.37,-20.93,0.9,0.72,0.22,0.56
186453,10.536,0.05136,16.36,15.8,-20.53,-21.06,2.94,0.0,0.68,0.53
186454,10.888,0.10332,17.73,16.81,-21.0,-21.71,4.14,0.23,0.65,0.71
186455,11.081,0.0606,16.18,15.3,-21.2,-21.96,3.57,0.35,0.57,0.76
186456,11.582,0.16532,17.77,16.77,-22.25,-22.92,7.99,0.58,0.39,0.67
186457,10.483,0.05137,17.19,16.32,-19.79,-20.55,4.69,0.53,0.53,0.76
186458,10.936,0.08802,17.62,16.65,-20.73,-21.51,5.13,0.59,0.36,0.78
186459,11.149,0.12539,17.35,16.47,-21.89,-22.54,1.69,0.3,0.1,0.65
186460,11.06,0.12007,17.89,16.89,-21.31,-22.04,6.19,0.19,0.75,0.73
186461,10.745,0.08927,16.67,16.12,-21.57,-22.03,1.59,0.2,0.15,0.46
186462,10.277,0.05034,17.4,16.58,-19.55,-20.3,0.97,0.85,0.1,0.75
186463,11.179,0.13376,17.83,16.86,-21.62,-22.32,3.23,0.52,0.33,0.7
186464,10.164,0.08682,17.36,16.93,-20.79,-21.18,1.09,0.55,0.0,0.39
186465,11.218,0.08511,16.71,15.7,-21.56,-22.38,4.17,0.19,0.99,0.82
186466,10.79,0.11865,17.39,16.78,-21.58,-22.05,1.32,0.13,0.19,0.47
186467,11.301,0.11957,17.29,16.25,-21.89,-22.66,6.38,0.25,0.92,0.77
186468,11.458,0.144,17.5,16.42,-22.21,-22.95,4.86,0.06,0.63,0.74
186469,9.554,0.05003,17.13,16.8,-19.71,-20.02,1.59,0.23,0.1,0.31
186470,11.381,0.07551,16.36,15.48,-21.57,-22.32,3.54,0.23,0.54,0.75
186471,11.188,0.12785,17.9,16.88,-21.43,-22.18,5.72,0.39,0.61,0.75
186472,11.019,0.11976,17.91,16.93,-21.22,-21.96,5.08,0.26,0.77,0.74
186473,10.935,0.12008,17.38,16.71,-21.66,-22.17,1.47,0.32,0.76,0.51
186474,11.139,0.12086,17.67,16.61,-21.53,-22.33,6.78,0.16,0.99,0.8
186475,11.457,0.12823,17.06,16.06,-22.31,-23.02,4.68,0.09,0.55,0.71
186476,11.625,0.15318,18.09,16.84,-21.84,-22.73,4.54,0.26,0.54,0.89
186477,11.14,0.10446,17.52,16.57,-21.27,-22.05,2.08,0.37,0.54,0.78
186478,10.572,0.05484,17.51,16.56,-19.66,-20.51,2.06,0.85,0.24,0.85
186479,11.163,0.11885,16.79,15.94,-22.24,-22.94,1.06,0.37,0.49,0.7
186480,11.406,0.1504,17.61,16.5,-22.2,-22.98,5.42,0.13,0.99,0.78
186481,10.443,0.05504,17.31,16.42,-19.85,-20.62,3.73,0.44,0.48,0.77
186482,10.936,0.11966,17.42,16.62,-21.66,-22.26,4.62,0.17,0.97,0.6
186483,10.902,0.08452,16.58,15.98,-21.52,-22.05,2.87,0.46,0.29,0.53
186484,9.146,0.02377,16.64,16.18,-18.51,-18.94,1.08,0.03,0.21,0.43
186485,10.028,0.02458,16.53,15.74,-18.73,-19.47,1.42,0.51,0.27,0.74
186486,9.574,0.02346,17.21,16.47,-17.95,-18.64,1.25,0.28,0.29,0.69
186487,11.402,0.13988,17.41,16.38,-22.19,-22.91,5.49,0.3,0.91,0.72
186488,10.23,0.02477,16.18,15.33,-19.09,-19.9,1.57,0.69,0.33,0.81
